id	query_id	product_id	label
0	0	25434	Exact
1	0	12088	Irrelevant
2	0	42931	Exact
3	0	2636	Exact
4	0	42923	Exact
5	0	41156	Exact
6	0	5938	Irrelevant
7	0	5937	Irrelevant
8	0	37072	Irrelevant
9	0	37071	Irrelevant
10	0	5936	Exact
11	0	38732	Irrelevant
12	0	29488	Irrelevant
13	0	41271	Irrelevant
14	0	22390	Exact
15	0	4034	Partial
16	0	42929	Exact
17	0	42928	Exact
18	0	26068	Partial
19	0	19170	Irrelevant
20	0	31555	Partial
21	0	31557	Partial
22	0	25428	Exact
23	0	24010	Partial
24	0	7506	Irrelevant
25	0	39428	Exact
26	0	39429	Exact
27	0	25433	Exact
28	0	25432	Exact
29	0	25431	Exact
30	0	25430	Irrelevant
31	0	27443	Partial
32	0	9234	Partial
33	0	27534	Exact
34	0	36910	Exact
35	0	36889	Irrelevant
36	0	22392	Irrelevant
37	0	35793	Irrelevant
38	0	7095	Partial
39	0	22308	Irrelevant
40	0	35765	Partial
41	0	19905	Partial
42	0	25429	Exact
43	0	18271	Partial
44	0	18274	Partial
45	0	18275	Partial
46	0	18276	Partial
47	0	18277	Partial
48	0	28058	Partial
49	0	28059	Partial
50	0	19456	Partial
51	0	42329	Partial
52	0	18272	Partial
53	0	2187	Partial
54	0	209	Partial
55	0	4329	Partial
56	0	4330	Partial
57	0	5450	Partial
58	0	6170	Partial
59	0	16301	Partial
60	0	1616	Partial
61	0	26070	Partial
62	0	18273	Partial
63	0	40997	Partial
64	0	40996	Partial
65	0	31306	Irrelevant
66	0	2638	Exact
67	0	27541	Exact
68	0	29746	Exact
69	0	20682	Partial
70	0	42330	Partial
71	0	24006	Partial
72	0	24007	Partial
73	0	29744	Exact
74	0	24008	Partial
75	0	22366	Partial
76	0	24009	Partial
77	0	20026	Exact
78	0	1199	Partial
79	0	22391	Exact
80	0	7465	Exact
81	0	39425	Irrelevant
82	0	42922	Irrelevant
83	0	39424	Irrelevant
84	0	30162	Irrelevant
85	0	22463	Irrelevant
86	0	22462	Irrelevant
87	0	26069	Partial
88	0	26071	Partial
89	0	25427	Exact
90	0	25426	Exact
91	0	25132	Partial
92	0	22130	Partial
93	0	6167	Partial
94	0	6168	Partial
95	0	41028	Irrelevant
96	0	22394	Irrelevant
97	0	42339	Irrelevant
98	0	33691	Partial
99	0	1197	Exact
100	0	11184	Partial
101	0	15612	Exact
102	0	37568	Irrelevant
103	0	21360	Partial
104	0	7468	Exact
105	0	17375	Irrelevant
106	0	25424	Exact
107	0	25423	Exact
108	0	33689	Partial
109	0	33690	Partial
110	0	42137	Partial
111	0	18270	Partial
112	0	1926	Irrelevant
113	0	42233	Irrelevant
114	0	39461	Exact
115	0	5779	Partial
116	0	1198	Exact
117	0	7467	Exact
118	0	42927	Exact
119	0	7466	Exact
120	0	29132	Partial
121	0	31556	Partial
122	0	40198	Irrelevant
123	0	25425	Exact
124	0	36892	Partial
125	0	36893	Partial
126	0	36894	Partial
127	0	36895	Partial
128	0	21358	Irrelevant
129	1	38855	Partial
130	1	9929	Exact
131	1	5235	Exact
132	1	26772	Partial
133	1	3510	Partial
134	1	39709	Partial
135	1	39745	Partial
136	1	16610	Partial
137	1	42287	Irrelevant
138	1	39491	Partial
139	1	34595	Partial
140	1	26768	Partial
141	1	32953	Partial
142	1	34512	Partial
143	1	39469	Partial
144	1	39868	Partial
145	1	39760	Partial
146	1	19212	Partial
147	1	23331	Partial
148	1	16828	Partial
149	1	5152	Partial
150	1	22596	Partial
151	1	16551	Partial
152	1	39692	Partial
153	1	25762	Partial
154	1	36127	Partial
155	1	8658	Partial
156	1	24571	Partial
157	1	36381	Partial
158	1	37304	Exact
159	1	1931	Partial
160	1	29402	Partial
161	1	5205	Partial
162	1	20899	Partial
163	1	32977	Partial
164	1	25973	Exact
165	1	5173	Partial
166	1	34711	Partial
167	1	8423	Partial
168	1	34986	Partial
169	1	41166	Partial
170	1	23833	Partial
171	1	8786	Partial
172	1	29441	Partial
173	1	30825	Partial
174	1	14528	Partial
175	1	25777	Partial
176	1	34509	Partial
177	1	30804	Partial
178	1	35413	Partial
179	1	3382	Partial
180	1	5169	Partial
181	1	5171	Partial
182	1	16679	Exact
183	1	19000	Partial
184	1	34379	Partial
185	1	7271	Partial
186	1	32900	Partial
187	1	41158	Partial
188	1	39751	Partial
189	1	640	Partial
190	1	5162	Partial
191	1	5176	Partial
192	1	34533	Partial
193	1	25888	Partial
194	1	6891	Partial
195	1	23648	Partial
196	1	30798	Partial
197	1	30797	Partial
198	1	16829	Partial
199	1	16851	Partial
200	1	22870	Partial
201	1	37292	Partial
202	1	39653	Partial
203	1	29063	Partial
204	1	23803	Partial
205	1	39834	Partial
206	1	36192	Partial
207	1	16822	Partial
208	1	25836	Partial
209	1	29952	Partial
210	1	29449	Exact
211	1	4363	Partial
212	1	30505	Partial
213	1	5880	Partial
214	1	30799	Partial
215	1	30800	Partial
216	1	5808	Partial
217	1	22675	Partial
218	1	39952	Partial
219	1	39821	Partial
220	1	40688	Partial
221	1	34510	Partial
222	1	38378	Partial
223	1	26178	Partial
224	1	24301	Partial
225	1	25312	Partial
226	1	8657	Partial
227	1	25616	Partial
228	1	34496	Partial
229	1	36482	Partial
230	1	25169	Partial
231	1	35430	Partial
232	1	22424	Partial
233	1	39808	Partial
234	1	34392	Partial
235	1	35399	Partial
236	1	17032	Partial
237	1	39640	Partial
238	1	37746	Partial
239	1	3121	Partial
240	1	22663	Partial
241	1	39468	Partial
242	1	34371	Partial
243	1	16747	Partial
244	1	20870	Partial
245	1	38354	Partial
246	1	26181	Partial
247	1	26146	Partial
248	1	39463	Partial
249	1	39771	Partial
250	1	16601	Partial
251	1	25641	Partial
252	2	4205	Exact
253	2	4202	Exact
254	2	4204	Exact
255	2	36622	Exact
256	2	29777	Exact
257	2	40289	Exact
258	2	10539	Exact
259	2	34445	Exact
260	2	34736	Exact
261	2	10561	Exact
262	2	29152	Exact
263	2	37068	Exact
264	2	12969	Exact
265	2	27516	Exact
266	2	32603	Exact
267	2	14034	Exact
268	2	36630	Exact
269	2	36533	Exact
270	2	36534	Exact
271	2	36631	Exact
272	2	36633	Exact
273	2	38581	Exact
274	2	38582	Exact
275	2	16284	Partial
276	2	24095	Exact
277	2	21072	Exact
278	2	20976	Exact
279	2	27508	Exact
280	2	27509	Exact
281	2	27510	Exact
282	2	27511	Exact
283	2	9569	Exact
284	2	34948	Exact
285	2	20665	Exact
286	2	10552	Exact
287	2	3276	Exact
288	2	11871	Exact
289	2	27812	Exact
290	2	11874	Exact
291	2	11878	Exact
292	2	13500	Exact
293	2	20957	Exact
294	2	11840	Exact
295	2	11877	Exact
296	2	39880	Exact
297	2	12165	Exact
298	2	10550	Exact
299	2	10553	Exact
300	2	14418	Exact
301	2	10306	Exact
302	2	25320	Exact
303	2	8504	Partial
304	2	12130	Exact
305	2	35710	Exact
306	2	35712	Exact
307	2	35711	Exact
308	2	29776	Exact
309	2	39498	Exact
310	2	39496	Exact
311	2	195	Exact
312	2	38628	Exact
313	2	34735	Exact
314	2	29736	Exact
315	2	8093	Exact
316	2	24094	Exact
317	2	8142	Exact
318	2	30926	Exact
319	2	34737	Exact
320	2	34739	Exact
321	2	12179	Exact
322	2	16227	Exact
323	2	32604	Exact
324	2	10547	Exact
325	2	16226	Exact
326	2	30321	Exact
327	2	17275	Exact
328	2	27728	Exact
329	2	11735	Partial
330	2	42530	Exact
331	2	3754	Exact
332	2	3756	Exact
333	2	19651	Exact
334	2	38580	Exact
335	2	12075	Exact
336	2	29151	Exact
337	2	14678	Exact
338	2	36411	Irrelevant
339	2	42557	Exact
340	2	9571	Exact
341	2	20971	Exact
342	2	38578	Exact
343	2	39310	Exact
344	2	29146	Exact
345	2	21094	Exact
